start,end,low,high,open,close,volume,VWAP
2024-11-14T08:11:56.416000-05:00,2024-11-15T00:00:00.000000-05:00,176.03,180.445,179.75,177.35,17925763,177.414953
2024-11-15T00:00:00.000000-05:00,2024-11-16T00:00:00.000000-05:00,172.745,175.88,175.64,173.89,21708870,174.085714
2024-11-18T00:00:00.000000-05:00,2024-11-19T00:00:00.000000-05:00,174.42,176.91,174.955,176.8,18725422,176.086441
2024-11-19T00:00:00.000000-05:00,2024-11-20T00:00:00.000000-05:00,175.116,180.17,175.235,179.58,15392866,178.659977
2024-11-20T00:00:00.000000-05:00,2024-11-21T00:00:00.000000-05:00,175.33,179.11,178.83,177.33,15729806,176.934338
2024-11-21T00:00:00.000000-05:00,2024-11-22T00:00:00.000000-05:00,165.31,175.58,175.455,169.24,38839431,168.143619
2024-11-22T00:00:00.000000-05:00,2024-11-23T00:00:00.000000-05:00,165.71,168.2645,167.16,166.57,24497042,166.856599
2024-11-25T00:00:00.000000-05:00,2024-11-26T00:00:00.000000-05:00,167.4,170.46,167.99,169.43,21395652,169.289448
2024-11-26T00:00:00.000000-05:00,2024-11-27T00:00:00.000000-05:00,169.43,171.495,169.49,170.62,14937478,170.610551
2024-11-27T00:00:00.000000-05:00,2024-11-28T00:00:00.000000-05:00,169.67,171.14,170.68,170.82,12433371,170.725022
2024-11-29T00:00:00.000000-05:00,2024-11-30T00:00:00.000000-05:00,168.75,170.87,170.06,170.49,9250712,170.259224
2024-12-02T00:00:00.000000-05:00,2024-12-03T00:00:00.000000-05:00,170.27,173.6,170.32,172.98,16593444,172.747863
2024-12-03T00:00:00.000000-05:00,2024-12-04T00:00:00.000000-05:00,172.51,174.32,173.12,173.02,15721483,173.085432
2024-12-04T00:00:00.000000-05:00,2024-12-05T00:00:00.000000-05:00,172.75,176.43,172.78,176.09,18239842,175.476314
2024-12-05T00:00:00.000000-05:00,2024-12-06T00:00:00.000000-05:00,174.01,177.71,177.32,174.31,16145520,175.115386
2024-12-06T00:00:00.000000-05:00,2024-12-07T00:00:00.000000-05:00,173.55,176.8389,173.88,176.49,13319549,176.131368
2024-12-09T00:00:00.000000-05:00,2024-12-10T00:00:00.000000-05:00,175.4,178.04,175.715,177.1,19887786,176.950729
2024-12-10T00:00:00.000000-05:00,2024-12-11T00:00:00.000000-05:00,182.67,188.03,184.535,186.53,34317438,185.663242
2024-12-11T00:00:00.000000-05:00,2024-12-12T00:00:00.000000-05:00,186.26,196.89,186.7,196.71,41664489,194.158375
2024-12-12T00:00:00.000000-05:00,2024-12-13T00:00:00.000000-05:00,193.28,196.7053,196.3,193.63,25197757,195.043696
2024-12-13T00:00:00.000000-05:00,2024-12-14T00:00:00.000000-05:00,191.26,194.34,192.71,191.38,18883217,192.469666
2024-12-16T00:00:00.000000-05:00,2024-12-17T00:00:00.000000-05:00,194.11,200.64,194.365,198.16,32248640,198.090861
2024-12-17T00:00:00.000000-05:00,2024-12-18T00:00:00.000000-05:00,196.69,202.88,198.53,197.12,24129481,198.556319
2024-12-18T00:00:00.000000-05:00,2024-12-19T00:00:00.000000-05:00,189.28,198.6899,196.83,190.15,27638416,193.109739
2024-12-19T00:00:00.000000-05:00,2024-12-20T00:00:00.000000-05:00,189.52,194.6,193.28,189.7,26981196,191.355632
2024-12-20T00:00:00.000000-05:00,2024-12-21T00:00:00.000000-05:00,186.37,194.1354,187.01,192.96,45319703,191.735638
2024-12-23T00:00:00.000000-05:00,2024-12-24T00:00:00.000000-05:00,191.63,196.49,194.03,195.99,15235942,194.819234
2024-12-24T00:00:00.000000-05:00,2024-12-25T00:00:00.000000-05:00,195.1979,197.67,196.17,197.57,6809823,196.942491
2024-12-26T00:00:00.000000-05:00,2024-12-27T00:00:00.000000-05:00,195.87,198.16,196.74,197.1,7918434,197.295137
2024-12-27T00:00:00.000000-05:00,2024-12-28T00:00:00.000000-05:00,191.972,196.8,196.47,194.04,14692994,193.750893
