start,end,low,high,open,close,volume,VWAP
2024-11-14T08:11:55.969000-05:00,2024-11-15T00:00:00.000000-05:00,138.56,141.4,140.34,138.84,31681410,139.642329
2024-11-15T00:00:00.000000-05:00,2024-11-16T00:00:00.000000-05:00,133.65,137.35,136.575,134.9,44217530,135.296999
2024-11-18T00:00:00.000000-05:00,2024-11-19T00:00:00.000000-05:00,137.21,140.9,138.185,138.93,38782434,139.443804
2024-11-19T00:00:00.000000-05:00,2024-11-20T00:00:00.000000-05:00,137.14,139.75,137.41,139.39,23131352,138.679638
2024-11-20T00:00:00.000000-05:00,2024-11-21T00:00:00.000000-05:00,135.48,140.77,138.96,137.6,28843065,137.079947
2024-11-21T00:00:00.000000-05:00,2024-11-22T00:00:00.000000-05:00,134.93,140.2799,138.87,137.49,29311442,137.212547
2024-11-22T00:00:00.000000-05:00,2024-11-23T00:00:00.000000-05:00,137.04,139.13,137.35,138.35,21784728,138.136629
2024-11-25T00:00:00.000000-05:00,2024-11-26T00:00:00.000000-05:00,139.05,142.35,140.49,141.13,30923110,140.888069
2024-11-26T00:00:00.000000-05:00,2024-11-27T00:00:00.000000-05:00,136.62,142.8,142.55,137.72,32092378,138.055117
2024-11-27T00:00:00.000000-05:00,2024-11-28T00:00:00.000000-05:00,132.96,137.94,137.2,136.24,30175287,135.04588
2024-11-29T00:00:00.000000-05:00,2024-11-30T00:00:00.000000-05:00,135.78,138.5876,136.24,137.175,16085714,137.522525
2024-12-02T00:00:00.000000-05:00,2024-12-03T00:00:00.000000-05:00,137.8,142.82,137.915,142.06,33102438,141.312533
2024-12-03T00:00:00.000000-05:00,2024-12-04T00:00:00.000000-05:00,141.0801,143.4495,142.58,141.98,22665348,142.009513
2024-12-04T00:00:00.000000-05:00,2024-12-05T00:00:00.000000-05:00,141.18,144.12,142.96,143.99,25942650,142.78439
2024-12-05T00:00:00.000000-05:00,2024-12-06T00:00:00.000000-05:00,140.38,143.95,143.68,141.36,29576925,141.837872
2024-12-06T00:00:00.000000-05:00,2024-12-07T00:00:00.000000-05:00,137.4,142.7852,141.48,138.59,33576839,139.931922
2024-12-09T00:00:00.000000-05:00,2024-12-10T00:00:00.000000-05:00,130.0,135.77,135.71,130.87,57055558,132.212084
2024-12-10T00:00:00.000000-05:00,2024-12-11T00:00:00.000000-05:00,127.07,131.56,131.56,127.74,38907198,128.750673
2024-12-11T00:00:00.000000-05:00,2024-12-12T00:00:00.000000-05:00,126.2201,131.21,128.52,130.15,45588134,128.867022
2024-12-12T00:00:00.000000-05:00,2024-12-13T00:00:00.000000-05:00,129.07,132.32,130.0,130.6,34267091,130.496245
2024-12-13T00:00:00.000000-05:00,2024-12-14T00:00:00.000000-05:00,124.77,131.3,131.3,126.91,67544738,126.908174
2024-12-16T00:00:00.000000-05:00,2024-12-17T00:00:00.000000-05:00,123.12,127.76,126.01,126.69,42090277,125.954266
2024-12-17T00:00:00.000000-05:00,2024-12-18T00:00:00.000000-05:00,123.15,127.08,124.45,125.02,43314939,124.875774
2024-12-18T00:00:00.000000-05:00,2024-12-19T00:00:00.000000-05:00,120.43,127.75,125.43,121.41,49724442,124.577643
2024-12-19T00:00:00.000000-05:00,2024-12-20T00:00:00.000000-05:00,118.45,123.38,122.16,118.88,46160667,120.031132
2024-12-20T00:00:00.000000-05:00,2024-12-21T00:00:00.000000-05:00,117.9,121.86,118.0,119.21,53591212,119.802664
2024-12-23T00:00:00.000000-05:00,2024-12-24T00:00:00.000000-05:00,120.47,126.3387,120.71,124.6,47777898,124.570462
2024-12-24T00:00:00.000000-05:00,2024-12-25T00:00:00.000000-05:00,124.66,127.51,127.51,126.29,24829564,125.83507
2024-12-26T00:00:00.000000-05:00,2024-12-27T00:00:00.000000-05:00,125.05,127.2999,125.52,125.06,25139138,125.83915
2024-12-27T00:00:00.000000-05:00,2024-12-28T00:00:00.000000-05:00,122.26,126.18,124.37,125.19,32924011,124.523156
2024-12-30T00:00:00.000000-05:00,2024-12-31T00:00:00.000000-05:00,122.35,124.1,123.562,122.44,30501637,123.002356
2024-12-31T00:00:00.000000-05:00,2025-01-01T00:00:00.000000-05:00,120.138,123.55,123.1,120.79,30203428,121.372888
2025-01-02T00:00:00.000000-05:00,2025-01-03T00:00:00.000000-05:00,119.44,123.14,122.29,120.63,34256182,121.199418
2025-01-03T00:00:00.000000-05:00,2025-01-04T00:00:00.000000-05:00,121.42,125.56,121.65,125.37,36785299,123.92558
2025-01-06T00:00:00.000000-05:00,2025-01-07T00:00:00.000000-05:00,127.36,130.73,129.07,129.55,48020190,129.489818
2025-01-07T00:00:00.000000-05:00,2025-01-08T00:00:00.000000-05:00,126.8537,131.71,130.51,127.33,39220408,128.696078
2025-01-08T00:00:00.000000-05:00,2025-01-09T00:00:00.000000-05:00,120.1201,125.3,124.51,121.84,46723136,121.880406
2025-01-10T00:00:00.000000-05:00,2025-01-11T00:00:00.000000-05:00,114.4501,118.71,118.18,116.04,59415614,115.800035
2025-01-13T00:00:00.000000-05:00,2025-01-14T00:00:00.000000-05:00,114.41,117.48,115.28,117.32,39128897,116.105123
2025-01-14T00:00:00.000000-05:00,2025-01-15T00:00:00.000000-05:00,114.5,118.66,118.0,116.09,37005279,115.897865
2025-01-15T00:00:00.000000-05:00,2025-01-16T00:00:00.000000-05:00,117.46,120.42,117.55,119.96,38185819,119.305824
2025-01-16T00:00:00.000000-05:00,2025-01-17T00:00:00.000000-05:00,118.25,121.09,120.24,118.44,29414126,119.067459
2025-01-17T00:00:00.000000-05:00,2025-01-18T00:00:00.000000-05:00,120.55,122.74,120.78,121.46,35765924,121.388823
2025-01-21T00:00:00.000000-05:00,2025-01-22T00:00:00.000000-05:00,121.1201,123.75,122.39,122.28,31578832,122.588571
2025-01-22T00:00:00.000000-05:00,2025-01-23T00:00:00.000000-05:00,121.912,125.65,123.08,123.75,35023842,123.966643
2025-01-23T00:00:00.000000-05:00,2025-01-24T00:00:00.000000-05:00,120.63,123.71,121.425,123.04,24921108,122.771059
2025-01-24T00:00:00.000000-05:00,2025-01-25T00:00:00.000000-05:00,122.23,125.25,124.55,122.84,31570300,123.428628
2025-01-27T00:00:00.000000-05:00,2025-01-28T00:00:00.000000-05:00,112.8,118.08,117.8,115.01,61067888,115.49676
2025-01-28T00:00:00.000000-05:00,2025-01-29T00:00:00.000000-05:00,112.95,116.15,115.175,114.43,40554760,114.176483
2025-01-29T00:00:00.000000-05:00,2025-01-30T00:00:00.000000-05:00,114.96,118.52,115.77,117.35,40199052,117.069536
2025-01-30T00:00:00.000000-05:00,2025-01-31T00:00:00.000000-05:00,117.09,120.44,118.53,118.86,29788383,118.690849
2025-01-31T00:00:00.000000-05:00,2025-02-01T00:00:00.000000-05:00,115.33,119.565,119.14,115.95,40533565,117.392849
2025-02-03T00:00:00.000000-05:00,2025-02-04T00:00:00.000000-05:00,112.98,115.16,113.875,114.27,34586051,114.111298
2025-02-04T00:00:00.000000-05:00,2025-02-05T00:00:00.000000-05:00,114.79,119.85,115.45,119.5,69412094,117.802382
2025-02-05T00:00:00.000000-05:00,2025-02-06T00:00:00.000000-05:00,106.5,112.09,107.61,112.01,110609343,109.248793
2025-02-06T00:00:00.000000-05:00,2025-02-07T00:00:00.000000-05:00,109.02,112.56,110.93,110.16,50426590,110.165956
2025-02-07T00:00:00.000000-05:00,2025-02-08T00:00:00.000000-05:00,106.79,109.92,109.13,107.56,46082499,107.900524
2025-02-10T00:00:00.000000-05:00,2025-02-11T00:00:00.000000-05:00,108.15,111.4,108.44,110.48,34905359,110.278322
2025-02-11T00:00:00.000000-05:00,2025-02-12T00:00:00.000000-05:00,108.94,113.07,108.98,111.1,35033759,111.417824
2025-02-12T00:00:00.000000-05:00,2025-02-13T00:00:00.000000-05:00,109.0649,111.8356,109.52,111.72,25319729,110.656301
