start,end,low,high,open,close,volume,VWAP
2024-11-14T08:17:43.142000-05:00,2024-11-15T00:00:00.000000-05:00,420.0,428.17,425.0,426.89,30246881,426.052674
2024-11-15T00:00:00.000000-05:00,2024-11-16T00:00:00.000000-05:00,413.64,422.8,419.82,415.0,28247644,416.324103
2024-11-18T00:00:00.000000-05:00,2024-11-19T00:00:00.000000-05:00,412.1,418.4037,414.87,415.76,24742013,415.807705
2024-11-19T00:00:00.000000-05:00,2024-11-20T00:00:00.000000-05:00,411.55,417.94,413.11,417.79,18133529,415.663478
2024-11-20T00:00:00.000000-05:00,2024-11-21T00:00:00.000000-05:00,410.58,417.29,416.87,415.49,19191655,414.612715
2024-11-21T00:00:00.000000-05:00,2024-11-22T00:00:00.000000-05:00,410.2887,419.78,419.5,412.87,20780162,413.724459
2024-11-22T00:00:00.000000-05:00,2024-11-23T00:00:00.000000-05:00,411.06,417.4,411.365,417.0,24814626,415.35901
2024-11-25T00:00:00.000000-05:00,2024-11-26T00:00:00.000000-05:00,414.85,421.08,418.38,418.79,27691090,418.021565
2024-11-26T00:00:00.000000-05:00,2024-11-27T00:00:00.000000-05:00,418.85,429.0414,419.585,427.99,23458889,426.110258
2024-11-27T00:00:00.000000-05:00,2024-11-28T00:00:00.000000-05:00,422.02,427.2299,425.105,422.99,18332444,423.778305
2024-11-29T00:00:00.000000-05:00,2024-11-30T00:00:00.000000-05:00,417.8,424.8849,420.09,423.46,16271921,422.246509
2024-12-02T00:00:00.000000-05:00,2024-12-03T00:00:00.000000-05:00,421.31,433.0,421.57,430.98,20207223,430.01025
2024-12-03T00:00:00.000000-05:00,2024-12-04T00:00:00.000000-05:00,427.74,432.47,429.84,431.2,18301987,430.672044
2024-12-04T00:00:00.000000-05:00,2024-12-05T00:00:00.000000-05:00,432.63,439.67,433.03,437.42,26009429,437.315791
2024-12-05T00:00:00.000000-05:00,2024-12-06T00:00:00.000000-05:00,436.171,444.66,437.92,442.62,21697775,441.642399
2024-12-06T00:00:00.000000-05:00,2024-12-07T00:00:00.000000-05:00,441.7703,446.1,442.3,443.57,18821002,443.744992
2024-12-09T00:00:00.000000-05:00,2024-12-10T00:00:00.000000-05:00,440.5,448.33,442.6,445.9,19144388,445.511642
2024-12-10T00:00:00.000000-05:00,2024-12-11T00:00:00.000000-05:00,441.6,449.62,444.39,443.33,18469459,444.683537
2024-12-11T00:00:00.000000-05:00,2024-12-12T00:00:00.000000-05:00,444.05,450.35,444.05,448.99,19200208,448.496389
2024-12-12T00:00:00.000000-05:00,2024-12-13T00:00:00.000000-05:00,449.11,456.1648,449.11,449.56,20834779,451.719869
2024-12-13T00:00:00.000000-05:00,2024-12-14T00:00:00.000000-05:00,445.58,451.43,448.435,447.27,20177833,447.6968
2024-12-16T00:00:00.000000-05:00,2024-12-17T00:00:00.000000-05:00,445.28,452.18,447.27,451.59,23598834,449.84069
