Symbol,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Strategy
AAPL,2025-05-11 06:51:13.837958,198.53,2025-05-11 06:51:14.013703,198.53,0.0,Breakout
TSLA,2025-05-11 06:51:14.633966,298.26,2025-05-11 06:51:14.810150,298.26,0.0,Breakout
MSFT,2025-05-11 06:51:15.460266,438.73,2025-05-11 06:51:15.642911,438.73,0.0,Breakout
AAPL,2025-05-11 06:51:19.873028,198.53,2025-05-11 06:51:20.060808,198.53,0.0,Breakout
TSLA,2025-05-11 06:51:20.710384,298.26,2025-05-11 06:51:20.893638,298.26,0.0,Breakout
MSFT,2025-05-11 06:51:21.506385,438.73,2025-05-11 06:51:21.684078,438.73,0.0,Breakout
AAPL,2025-05-11 06:51:25.425924,198.53,2025-05-11 06:51:25.609157,198.53,0.0,Breakout
TSLA,2025-05-11 06:51:26.219902,298.26,2025-05-11 06:51:26.400083,298.26,0.0,Breakout
MSFT,2025-05-11 06:51:27.008482,438.73,2025-05-11 06:51:27.185464,438.73,0.0,Breakout
AAPL,2025-05-11 06:51:29.819708,198.53,2025-05-11 06:51:30.046892,198.53,0.0,Breakout
TSLA,2025-05-11 06:51:30.657702,298.26,2025-05-11 06:51:30.846294,298.26,0.0,Breakout
MSFT,2025-05-11 06:51:31.472548,438.73,2025-05-11 06:51:31.661062,438.73,0.0,Breakout
TSLA,2025-05-11 06:51:54.173726,298.26,2025-05-11 06:51:55.807265,298.26,0.0,Breakout
TSLA,2025-05-11 06:51:55.621390,298.26,2025-05-11 06:53:36.898506,298.26,0.0,Breakout
TSLA,2025-05-11 06:53:36.723729,298.26,2025-05-11 06:53:55.565546,298.26,0.0,Breakout
TSLA,2025-05-11 06:53:55.388282,298.26,2025-05-11 06:53:59.222947,298.26,0.0,Breakout
TSLA,2025-05-11 06:53:59.045202,298.26,2025-05-11 06:54:10.453956,298.26,0.0,Breakout
TSLA,2025-05-11 06:54:10.276553,298.26,2025-05-11 06:55:11.205501,298.26,0.0,Breakout
TSLA,2025-05-11 06:55:11.036050,298.26,2025-05-11 06:56:11.247095,298.26,0.0,Breakout
TSLA,2025-05-11 06:56:11.064858,298.26,2025-05-11 06:57:11.290574,298.26,0.0,Breakout
TSLA,2025-05-11 06:57:11.122913,298.26,2025-05-11 06:58:11.898347,298.26,0.0,Breakout
TSLA,2025-05-11 06:58:11.701284,298.26,2025-05-11 06:58:49.572466,298.26,0.0,Breakout
TSLA,2025-05-11 06:58:49.400192,298.26,2025-05-11 06:58:58.028762,298.26,0.0,Breakout
TSLA,2025-05-11 06:58:57.848036,298.26,2025-05-11 06:59:51.143479,298.26,0.0,Breakout
TSLA,2025-05-11 06:59:50.968844,298.26,2025-05-11 06:59:53.986168,298.26,0.0,Breakout
TSLA,2025-05-11 06:59:53.806266,298.26,2025-05-11 07:00:54.832413,298.26,0.0,Breakout
TSLA,2025-05-11 07:00:54.648178,298.26,2025-05-11 07:00:59.187773,298.26,0.0,Breakout
TSLA,2025-05-11 07:00:59.012779,298.26,2025-05-11 07:02:00.038952,298.26,0.0,Breakout
TSLA,2025-05-11 07:01:59.856914,298.26,2025-05-11 07:02:04.513676,298.26,0.0,Breakout
TSLA,2025-05-11 07:02:04.328312,298.26,2025-05-11 07:03:05.914220,298.26,0.0,Breakout
TSLA,2025-05-11 07:03:05.730514,298.26,2025-05-11 07:03:09.493863,298.26,0.0,Breakout
TSLA,2025-05-11 07:03:09.299131,298.26,2025-05-11 07:05:14.876685,298.26,0.0,Breakout
TSLA,2025-05-11 07:05:14.696480,298.26,2025-05-11 07:05:19.197043,298.26,0.0,Breakout
TSLA,2025-05-11 07:05:19.020012,298.26,2025-05-11 07:06:19.906513,298.26,0.0,Breakout
TSLA,2025-05-11 07:06:19.713614,298.26,2025-05-11 07:06:24.305098,298.26,0.0,Breakout
TSLA,2025-05-11 07:06:24.114440,298.26,2025-05-11 07:07:24.897622,298.26,0.0,Breakout
TSLA,2025-05-11 07:07:24.716903,298.26,2025-05-11 07:07:29.190519,298.26,0.0,Breakout
TSLA,2025-05-11 07:07:28.998724,298.26,2025-05-11 07:08:29.877631,298.26,0.0,Breakout
TSLA,2025-05-11 07:08:29.688542,298.26,2025-05-11 07:08:34.241634,298.26,0.0,Breakout
TSLA,2025-05-11 07:08:34.064607,298.26,2025-05-11 07:09:34.873796,298.26,0.0,Breakout
TSLA,2025-05-11 07:09:34.635539,298.26,2025-05-11 07:09:39.446889,298.26,0.0,Breakout
TSLA,2025-05-11 07:09:39.265691,298.26,2025-05-11 07:10:40.903880,298.26,0.0,Breakout
TSLA,2025-05-11 07:10:40.720606,298.26,2025-05-11 07:10:44.319529,298.26,0.0,Breakout
TSLA,2025-05-11 07:10:44.124997,298.26,2025-05-11 07:11:44.946803,298.26,0.0,Breakout
TSLA,2025-05-11 07:11:44.745394,298.26,2025-05-11 07:11:49.491463,298.26,0.0,Breakout
TSLA,2025-05-11 07:11:49.300973,298.26,2025-05-11 07:12:50.879994,298.26,0.0,Breakout
TSLA,2025-05-11 07:12:50.711422,298.26,2025-05-11 07:12:54.292962,298.26,0.0,Breakout
TSLA,2025-05-11 07:12:54.111102,298.26,2025-05-11 07:13:54.893545,298.26,0.0,Breakout
