Date,Breakout,MA_Crossover,BuyHold
2023-08-23,100000.0,100000.0,158330.26471912154
2023-08-24,100000.0,100000.0,154222.80140871622
2023-08-25,100000.0,100000.0,157617.04693873052
2023-08-28,100000.0,100000.0,158187.16073447085
2023-08-29,100000.0,100000.0,165013.12270288184
2023-08-30,100000.0,100000.0,165893.83536609382
2023-08-31,100000.0,100000.0,166140.16596270323
2023-09-01,100000.0,100000.0,162995.54057347449
2023-09-05,100000.0,100000.0,166962.41817523143
2023-09-06,100000.0,100000.0,163839.3809311986
2023-09-07,100000.0,100000.0,161933.65122019732
2023-09-08,100000.0,100000.0,161853.63819627507
2023-09-11,100000.0,100000.0,169720.1782838499
2023-09-12,100000.0,100000.0,166365.7273694228
2023-09-13,100000.0,100000.0,167495.8091517793
2023-09-14,100000.0,100000.0,169587.10911752377
2023-09-15,100000.0,100000.0,167764.48667329742
2023-09-18,100000.0,100000.0,165801.67229057162
2023-09-19,100000.0,100000.0,166370.97480321382
2023-09-20,100000.0,100000.0,163263.00246067045
2023-09-21,100000.0,100000.0,160752.35660803213
2023-09-22,100000.0,100000.0,157581.03756560863
2023-09-25,100000.0,100000.0,158579.36630897282
2023-09-26,100000.0,100000.0,155967.66309450936
2023-09-27,100000.0,100000.0,154645.71949392435
2023-09-28,100000.0,100000.0,156484.31768443994
2023-09-29,100000.0,100000.0,157989.6859646929
2023-10-02,100000.0,100000.0,159865.91890031353
2023-10-03,100000.0,100000.0,156931.3832961273
2023-10-04,100000.0,100000.0,162140.53674949222
2023-10-05,100000.0,100000.0,162204.62903315565
2023-10-06,100000.0,100000.0,164093.34074094673
2023-10-09,100000.0,100000.0,164590.2458443335
2023-10-10,100000.0,100000.0,165350.02137932036
2023-10-11,100000.0,100000.0,166091.46541989644
2023-10-12,100000.0,100000.0,164992.0996029061
2023-10-13,100000.0,100000.0,161860.03863768757
2023-10-16,100000.0,100000.0,163292.3499027277
2023-10-17,100000.0,100000.0,163070.52883644277
2023-10-18,100000.0,100000.0,159040.4858069587
2023-10-19,100000.0,100000.0,152759.49622235412
2023-10-20,100000.0,100000.0,149169.87194833616
2023-10-23,100000.0,100000.0,149591.8992142483
2023-10-24,100000.0,100000.0,151121.27924192767
2023-10-25,100000.0,100000.0,150766.39522821855
2023-10-26,100000.0,100000.0,146046.26673897158
2023-10-27,100000.0,100000.0,147086.39999579143
2023-10-30,100000.0,100000.0,145856.99898130257
2023-10-31,100000.0,100000.0,147069.9381714252
2023-11-01,100000.0,100000.0,150347.36201740842
2023-11-02,100000.0,100000.0,155198.5771655432
2023-11-03,100000.0,100000.0,155988.6854492579
2023-11-06,100000.0,100000.0,156972.4569206529
2023-11-07,100000.0,100000.0,159008.99967007362
2023-11-08,100000.0,100000.0,159632.87207340426
2023-11-09,100000.0,100000.0,155750.03355741416
2023-11-10,100000.0,100000.0,159392.1572650965
2023-11-13,100000.0,100000.0,161116.84747674392
2023-11-14,100000.0,100000.0,166146.45099092863
2023-11-15,100000.0,100000.0,167841.66642262507
2023-11-16,100000.0,100000.0,166575.68777576534
2023-11-17,100000.0,100000.0,165895.96555714452
2023-11-20,100000.0,100000.0,167764.6082962208
2023-11-21,100000.0,100000.0,168527.27973047234
2023-11-22,100000.0,100000.0,167394.2108879151
2023-11-24,100000.0,100000.0,167340.22102454054
2023-11-27,100000.0,100000.0,167634.4201313465
