symbol,breakout_window,atr_factor,total_return,sharpe_ratio
MSFT,10,1.0,0.0,0
MSFT,10,1.5,0.0,0
MSFT,10,2.0,0.0,0
MSFT,20,1.0,0.0,0
MSFT,20,1.5,0.0,0
MSFT,20,2.0,0.0,0
MSFT,30,1.0,0.0,0
MSFT,30,1.5,0.0,0
MSFT,30,2.0,0.0,0
