timestamp,symbol,price,strategy
2025-05-07T10:09:03.331833,AAPL,198.795,Breakout
2025-05-07T10:09:03.987219,TSLA,275.52,Breakout
2025-05-07T10:09:04.643900,MSFT,434.6153,Breakout
2025-05-07T10:09:11.933923,AAPL,198.7631,Breakout
2025-05-07T10:09:12.630745,TSLA,275.55,Breakout
2025-05-07T10:09:13.293555,MSFT,434.61,Breakout
2025-05-07T10:09:23.678145,AAPL,198.76,Breakout
2025-05-07T10:09:24.345482,TSLA,275.745,Breakout
2025-05-07T10:09:25.026331,MSFT,434.48,Breakout
2025-05-07T10:11:45.487472,AAPL,198.905,Breakout
2025-05-07T10:11:46.175251,TSLA,275.055,Breakout
2025-05-07T10:11:46.841553,MSFT,434.8,Breakout
2025-05-07T10:39:58.300663,AAPL,199.01,MA Crossover
2025-05-07T10:39:58.963667,TSLA,276.87,Breakout
2025-05-07T10:39:59.640074,MSFT,434.75,Breakout
2025-05-07T10:49:45.833416,AAPL,198.83,Breakout
2025-05-07T10:49:46.510358,TSLA,275.69,Breakout
2025-05-07T10:49:47.187487,MSFT,433,Breakout
2025-05-07T11:04:21.052563,AAPL,196.8455,Breakout
2025-05-07T11:04:21.839881,TSLA,273.5,Breakout
2025-05-07T15:44:10.967893,AAPL,196.787,Breakout
2025-05-07T15:44:11.660265,TSLA,276.57,Breakout
2025-05-07T15:44:12.355982,MSFT,437.26,Breakout
2025-05-08T12:47:11.174949,MSFT,442.87,Breakout
2025-05-08T12:47:21.382069,MSFT,442.85,Breakout
2025-05-08T12:47:42.368191,MSFT,442.82,Breakout
2025-05-08T12:47:45.767630,MSFT,442.86,Breakout
2025-05-08T12:47:48.709295,MSFT,442.83,Breakout
2025-05-08T12:47:55.909020,MSFT,442.83,Breakout
2025-05-08T12:48:14.082865,MSFT,442.92,Breakout
2025-05-08T12:49:17.911041,MSFT,443.1,Breakout
2025-05-08T12:50:21.869163,MSFT,442.89,Breakout
2025-05-08T12:51:25.867664,MSFT,443.19,Breakout
2025-05-08T12:52:29.728258,MSFT,443.155,Breakout
2025-05-08T12:53:14.288937,MSFT,443.035,Breakout
2025-05-08T12:53:22.957013,MSFT,443.08,Breakout
2025-05-08T12:54:18.339219,MSFT,443.19,Breakout
2025-05-08T12:55:18.890596,MSFT,442.965,Breakout
2025-05-08T12:55:22.541408,MSFT,443.02,Breakout
2025-05-08T12:56:26.359031,MSFT,442.99,Breakout
2025-05-08T12:56:55.556515,MSFT,443.04,Breakout
2025-05-08T12:57:22.168825,MSFT,443.0876,Breakout
2025-05-08T12:57:39.602192,MSFT,443.09,Breakout
2025-05-08T12:57:41.636003,MSFT,443.0552,Breakout
2025-05-08T12:57:47.743773,AAPL,199.7893,Breakout
2025-05-08T12:57:48.417369,TSLA,287.89,Breakout
2025-05-08T12:57:49.117588,MSFT,443.02,Breakout
2025-05-08T12:57:56.278919,MSFT,442.9901,Breakout
2025-05-08T12:58:15.863075,MSFT,443.0106,Breakout
2025-05-08T12:58:41.200565,MSFT,443.12,Breakout
2025-05-08T12:58:56.393407,MSFT,443,Breakout
2025-05-08T12:59:13.211110,MSFT,443.05,Breakout
2025-05-08T12:59:15.076114,MSFT,443.05,Breakout
2025-05-08T12:59:18.618856,MSFT,443.03,Breakout
2025-05-08T13:00:42.273793,MSFT,443.085,Breakout
2025-05-08T13:01:44.727816,MSFT,442.825,Breakout
2025-05-08T13:02:47.316296,MSFT,442.76,Breakout
2025-05-08T13:03:49.925928,MSFT,442.8,Breakout
2025-05-08T13:04:52.462768,MSFT,442.56,Breakout
2025-05-08T13:05:55.016635,MSFT,442.56,Breakout
2025-05-08T13:39:58.892010,MSFT,443.07,Breakout
2025-05-08T13:41:01.634467,MSFT,442.92,Breakout
2025-05-08T13:42:04.214570,MSFT,442.7893,Breakout
2025-05-08T13:43:08.012131,MSFT,442.71,Breakout
2025-05-08T13:43:55.206092,MSFT,442.65,Breakout
2025-05-08T13:44:09.751036,MSFT,442.63,Breakout
2025-05-08T13:44:57.888050,MSFT,442.7,Breakout
2025-05-08T13:45:11.019692,MSFT,442.7379,Breakout
2025-05-08T13:46:01.817883,MSFT,442.59,Breakout
2025-05-08T13:47:05.895212,MSFT,442.2602,Breakout
2025-05-08T13:48:09.595967,MSFT,442.46,Breakout
2025-05-08T13:49:13.401838,MSFT,442.3899,Breakout
2025-05-08T13:49:43.282692,MSFT,442.3204,Breakout
2025-05-08T13:50:16.258988,MSFT,442.25,Breakout
2025-05-08T13:50:34.955959,MSFT,442.0847,Breakout
2025-05-08T13:50:44.893511,MSFT,442.22,Breakout
2025-05-08T13:51:18.909358,MSFT,442.39,Breakout
2025-05-08T13:51:31.868616,MSFT,442.33,Breakout
