Date,AAPL
2023-01-03,32000.30725276596
2023-01-04,32330.368462830913
2023-01-05,31987.514840857446
2023-01-06,33164.46807986602
2023-01-09,33300.070015792815
2023-01-10,33448.48411109942
2023-01-11,34154.645785819484
2023-01-12,34134.17950656357
2023-01-13,34479.57857758768
2023-01-17,34781.49766630218
2023-01-18,34594.72213324707
2023-01-19,34610.0777669304
2023-01-20,35275.30688313863
2023-01-23,36104.285980865505
2023-01-24,36467.611806336274
2023-01-25,36296.18005848172
2023-01-26,36833.48505560482
2023-01-27,37337.527412069234
2023-01-30,36587.862058074
2023-01-31,36917.921293391824
2023-02-01,37209.60329298411
2023-02-02,38588.68374923685
2023-02-03,39530.2431808483
2023-02-06,38821.5103853649
2023-02-07,39568.6243660681
2023-02-08,38870.13260920117
2023-02-09,38601.476161145365
2023-02-10,38696.287720353685
2023-02-13,39424.037330699546
2023-02-14,39257.471359773444
2023-02-15,39803.2875170271
2023-02-16,39388.16802382918
2023-02-17,39090.91328783587
2023-02-21,38047.982187050045
2023-02-22,38158.16517791874
2023-02-23,38283.7196004478
2023-02-24,37594.418316724164
2023-02-27,37904.477313108764
2023-02-28,37773.79249753581
2023-03-01,37235.6660056066
2023-03-02,37389.41586765863
2023-03-03,38701.41811339758
2023-03-06,39418.90693765565
2023-03-07,38847.48225961941
2023-03-08,39172.912687664386
2023-03-09,38588.66400176555
2023-03-10,38053.10073161116
2023-03-13,38557.92113844481
2023-03-14,39101.16222544087
2023-03-15,39203.6673994679
2023-03-16,39936.53555437487
2023-03-17,39718.728844918034
2023-03-20,40333.72039413761
2023-03-21,40815.47575449219
2023-03-22,40443.911283994814
2023-03-23,40725.786689339235
2023-03-24,41064.037175752535
2023-03-27,40559.22071841314
2023-03-28,40397.785140530934
2023-03-29,41197.289162594556
2023-03-30,41604.72688945656
2023-03-31,42255.59959402927
2023-04-03,42581.0339715685
2023-04-04,42442.663440165365
2023-04-05,41963.471301585596
2023-04-06,42194.09806941076
2023-04-10,41520.16031835897
2023-04-11,41204.978827919
2023-04-12,41025.600697613096
2023-04-13,42424.73273622444
2023-04-14,42335.043671071486
2023-04-17,42340.158266138336
2023-04-18,42657.9148268359
2023-04-19,42955.157714346424
2023-04-20,42704.037020805525
2023-04-21,42286.34640684427
2023-04-24,42365.790483886485
2023-04-25,41966.03847285467
2023-04-26,41963.471301585596
2023-04-27,43155.04161885085
2023-04-28,43480.47599639008
2023-05-01,43457.407000416744
2023-05-02,43188.347703946405
2023-05-03,42909.02762138828
2023-05-04,42483.6552410911
2023-05-05,44477.2928021948
2023-05-08,44459.350249771094
2023-05-09,44016.03531705021
2023-05-10,44474.72168143147
2023-05-11,44523.41104667017
2023-05-12,44282.199634227894
2023-05-15,44153.89636369379
2023-05-16,44153.89636369379
2023-05-17,44312.99384097401
2023-05-18,44918.581644360245
2023-05-19,44946.80867983729
2023-05-22,44700.458975362606
2023-05-23,44023.025921890614
2023-05-24,44094.875121470635
2023-05-25,44389.98133258644
2023-05-26,45016.08280915971
2023-05-30,45495.93451328092
2023-05-31,45483.11445491258
2023-06-01,46211.863287306245
2023-06-02,46432.545228584444
2023-06-05,46080.992845503075
2023-06-06,45986.050952984166
2023-06-07,45629.380025341685
2023-06-08,46335.03616479646
2023-06-09,46435.11239985352
2023-06-12,47161.29406097811
2023-06-13,47038.129082476415
2023-06-14,47202.356952800525
2023-06-15,47730.95726457433
2023-06-16,47451.26592955576
2023-06-20,47474.358622494656
2023-06-21,47204.9241240696
2023-06-22,47985.00058386772
2023-06-23,47902.882699211405
2023-06-26,47541.07347953652
2023-06-27,48257.00225356185
2023-06-28,48562.36530127117
2023-06-29,48649.60567998286
2023-06-30,49773.53300905512
2023-07-03,49386.052076689484
2023-07-05,49096.092056594614
2023-07-06,49219.26493408482
2023-07-07,48929.30491398995
2023-07-10,48398.13743094706
2023-07-11,48262.1365961
2023-07-12,48695.7950153549
2023-07-13,48893.380314199945
2023-07-14,48931.87208525903
2023-07-17,49778.66735159327
2023-07-18,49711.948545057145
2023-07-19,50063.49302914999
2023-07-20,49557.993309303594
2023-07-21,49252.63026159428
2023-07-24,49460.476346527095
2023-07-25,49683.7215095801
2023-07-26,49909.529894407926
2023-07-27,49581.08205274823
2023-07-28,50250.82149140152
2023-07-31,50409.90712019895
2023-08-01,50194.36742044743
2023-08-02,49416.854182424126
2023-08-03,49055.044962749234
2023-08-04,46699.42045472894
2023-08-07,45893.67623173433
2023-08-08,46137.45086595142
2023-08-09,45724.31796836633
2023-08-10,45667.86389741225
2023-08-11,45683.278773509475
2023-08-14,46112.39527436525
2023-08-15,45595.91990996999
2023-08-16,45369.80346458988
2023-08-17,44709.44012531011
2023-08-18,44835.35000232258
2023-08-21,45182.23013369423
2023-08-22,45539.3868491307
2023-08-23,46538.93275546916
2023-08-24,45320.9837660406
2023-08-25,45893.98034279236
2023-08-28,46299.964655766635
2023-08-29,47309.78319667566
2023-08-30,48216.81614946518
2023-08-31,48273.34131131595
2023-09-01,48681.90069454782
2023-09-05,48743.56809792526
2023-09-06,46998.87110953087
2023-09-07,45624.17854140112
2023-09-08,45783.48929137138
2023-09-11,46086.69591521468
2023-09-12,45300.426648416695
2023-09-13,44763.3981158918
2023-09-14,45156.53472403792
2023-09-15,44968.95349415376
2023-09-18,45729.531300789684
2023-09-19,46012.180807009085
2023-09-20,45092.29619989715
2023-09-21,44691.45017895528
2023-09-22,44912.42438280873
2023-09-25,45243.90148656593
2023-09-26,44185.26324710763
2023-09-27,43792.12268946724
2023-09-28,43858.932334371355
2023-09-29,43992.54372519105
2023-10-02,44645.205550663595
2023-10-03,44298.317520303426
2023-10-04,44622.0733627821
2023-10-05,44943.262033991705
2023-10-06,45606.20044352907
2023-10-09,45991.62763887945
2023-10-10,45837.45123144733
2023-10-11,46199.75413790473
2023-10-12,46433.57999608059
2023-10-13,45955.651695664055
2023-10-16,45922.24292371774
2023-10-17,45518.829731506805
2023-10-18,45182.23013369423
2023-10-19,45084.59073659567
2023-10-20,44421.65627655256
2023-10-23,44452.489978241276
2023-10-24,44565.548200931335
2023-10-25,43964.28509375992
2023-10-26,42882.518615914385
2023-10-27,43224.26440474789
2023-10-30,43756.146746251856
2023-10-31,43879.48945199525
2023-11-01,44701.73071251436
2023-11-02,45626.75756115297
2023-11-03,45390.35663271952
2023-11-06,46053.29109276263
2023-11-07,46718.80457255759
2023-11-08,46993.73676699272
2023-11-09,46870.394061249324
2023-11-10,47958.72854804943
2023-11-13,47547.06486232911
2023-11-14,48226.3107336665
2023-11-15,48372.96335453309
2023-11-16,48810.361944852324
2023-11-17,48805.21180433713
2023-11-20,49258.041068730636
2023-11-21,49049.63810510714
2023-11-22,49222.02168107838
2023-11-24,48877.25057964163
2023-11-27,48830.93880994752
2023-11-28,48987.88381285598
2023-11-29,48722.87669749651
2023-11-30,48872.104388620704
2023-12-01,49204.011987252255
2023-12-04,48738.3152705593
2023-12-05,49764.89941460251
2023-12-06,49481.88260541692
2023-12-07,49983.598709762126
2023-12-08,50354.092867315005
2023-12-11,49703.14907184561
2023-12-12,50096.807013234065
2023-12-13,50932.993937985644
2023-12-14,50971.584446401226
2023-12-15,50832.65308681316
2023-12-18,50400.40463700912
2023-12-19,50670.55794338951
2023-12-20,50127.676260371125
2023-12-21,50089.08180246128
2023-12-22,49811.21513379088
2023-12-26,49669.704754450955
2023-12-27,49695.43176006134
2023-12-28,49806.06894276995
2023-12-29,49535.91168689529
2024-01-02,47763.18513773687
2024-01-03,47405.55448298919
2024-01-04,46803.50147696576
2024-01-05,46615.67537843746
2024-01-08,47742.60432314741
2024-01-09,47634.5422106964
2024-01-10,47904.69946657106
2024-01-11,47750.32163493168
2024-01-12,47835.227862535634
2024-01-16,47246.0383593174
2024-01-17,47001.60810905313
2024-01-18,48532.4873771934
2024-01-19,49286.34314459862
2024-01-22,49885.825029858715
2024-01-23,50217.72472950175
2024-01-24,50042.77398226143
2024-01-25,49957.867754657476
2024-01-26,49507.60961102731
2024-01-29,49330.0837935294
2024-01-30,48380.680666317356
2024-01-31,47444.14499140477
2024-02-01,48077.083042542305
2024-02-02,47817.21816870951
2024-02-05,48288.06107642339
2024-02-06,48704.867003670384
2024-02-07,48733.16907953837
2024-02-08,48452.72734061038
2024-02-09,48651.09068982466
2024-02-12,48213.13917030901
2024-02-13,47669.56237630084
2024-02-14,47440.28238601838
2024-02-15,47365.5777020883
2024-02-16,46966.26408491936
2024-02-20,46773.05482571453
2024-02-21,46968.851003659736
2024-02-22,47496.957628651035
2024-02-23,47020.37215628294
2024-02-26,46670.012520468124
2024-02-27,47048.705828105005
2024-02-28,46736.988044131154
2024-02-29,46564.38329648135
2024-03-01,46283.58215357568
2024-03-04,45108.844580847035
2024-03-05,43825.906663368274
2024-03-06,43568.29300126374
2024-03-07,43537.38030968982
2024-03-08,43983.05703997825
2024-03-11,44503.44635318528
2024-03-12,44627.09711948097
2024-03-13,44086.10724421318
2024-03-14,44567.85075608498
2024-03-15,44469.954641859506
2024-03-18,44753.33085502277
2024-03-19,45361.31600142489
2024-03-20,46028.53961223448
2024-03-21,44147.92867786676
2024-03-22,44382.36275815867
2024-03-25,44013.97368104643
2024-03-26,43720.289287864274
2024-03-27,44647.709530024506
2024-03-28,44176.26629918309
2024-04-01,43802.727081555655
2024-04-02,43496.15548860274
2024-04-03,43704.830967330185
2024-04-04,43491.013247076065
2024-04-05,43686.7975765385
2024-04-08,43395.68825361393
2024-04-09,43709.98110784537
2024-04-10,43223.07955646986
2024-04-11,45093.3902098072
2024-04-12,45482.39169746298
2024-04-15,44487.98408315693
2024-04-16,43635.2764239153
2024-04-17,43279.76269809103
2024-04-18,43032.44141802836
2024-04-19,42506.909863294655
2024-04-22,42723.302653806364
2024-04-23,42996.37463644499
2024-04-24,43542.53045020501
2024-04-25,43766.66029997228
2024-04-26,43614.66401337175
2024-04-29,44696.65561239012
